id,Gene,baseMean,log2FoldChange,pvalue,padj,Biotype,Orthologous_human_gene
ENSDARG00000057113,C6 (1 of 2),2311.701593,0.550117909,1.60E-10,1.09E-07,protein_coding,C6
ENSDARG00000034273,sid4,8778.612364,0.544530229,1.77E-10,1.16E-07,protein_coding,HSPG2
ENSDARG00000044528,slc15a1b,3319.26522,1.15249744,2.84E-10,1.81E-07,protein_coding,SLC15A1
ENSDARG00000020007,col1a2,336554.1209,-0.382678704,3.26E-10,2.01E-07,protein_coding,COL1A2
ENSDARG00000061242,tuft1a,5243.598482,0.37454548,4.92E-10,2.95E-07,protein_coding,TUFT1
ENSDARG00000053853,slc13a2,3975.768878,1.239677983,5.90E-10,3.44E-07,protein_coding,SLC13A2
ENSDARG00000069978,si:ch211-67e16.2,706.6532045,0.822334581,6.16E-10,3.49E-07,protein_coding,NA
ENSDARG00000012405,col1a1a,438269.8536,-0.416260274,6.51E-10,3.56E-07,protein_coding,COL1A1
ENSDARG00000079508,FAM114A2,1795.764168,0.399121353,6.64E-10,3.56E-07,protein_coding,FAM114A2
ENSDARG00000025338,hagh,1899.457334,0.606385288,1.15E-09,5.95E-07,protein_coding,HAGH
ENSDARG00000012881,slc4a1a,14078.44643,0.754975525,1.17E-09,5.95E-07,protein_coding,SLC4A1
ENSDARG00000071429,tdo2a,4866.406683,0.595093688,1.47E-09,7.30E-07,protein_coding,TDO2
ENSDARG00000087495,USP2 (2 of 3),499.502298,0.747496011,1.55E-09,7.51E-07,protein_coding,USP2
ENSDARG00000068515,si:zfos-1762d12.1,4419.330917,0.666679341,1.91E-09,9.03E-07,protein_coding,NA
ENSDARG00000074188,si:ch211-131e11.19,7212.272722,0.630679032,3.06E-09,1.42E-06,protein_coding,NA
ENSDARG00000055837,arhgef1b,9156.215847,1.05497014,3.21E-09,1.45E-06,protein_coding,ARHGEF1
ENSDARG00000073876,CU638695.1,364.6533427,1.296745658,4.22E-09,1.87E-06,protein_coding,NA
ENSDARG00000074120,USP2 (3 of 3),431.1770684,0.70067922,4.66E-09,2.02E-06,protein_coding,USP2
ENSDARG00000088794,CT033798.1,113.2446332,-0.926233497,5.36E-09,2.27E-06,protein_coding,NA
ENSDARG00000008035,zgc:113516,487.4356995,0.825714103,7.33E-09,3.05E-06,protein_coding,ETNK1
ENSDARG00000016918,ace2,4897.56077,1.063493158,7.62E-09,3.10E-06,protein_coding,ACE2
ENSDARG00000053973,fetub,65677.08601,0.528940515,8.05E-09,3.22E-06,protein_coding,FETUB
ENSDARG00000075014,sqstm1,2496.599333,0.521988666,9.42E-09,3.69E-06,protein_coding,SQSTM1
ENSDARG00000069453,zgc:113314,294.6097228,0.935163083,9.67E-09,3.72E-06,protein_coding,NA
ENSDARG00000011373,mknk2a,547.21533,0.74889694,9.93E-09,3.75E-06,protein_coding,MKNK2
ENSDARG00000017882,rdh1,1893.636258,0.647836595,1.04E-08,3.84E-06,protein_coding,RDH5
ENSDARG00000041169,hif1al,4338.569657,0.484066277,1.16E-08,4.18E-06,protein_coding,HIF3A
ENSDARG00000043806,postna,16623.37805,-0.889830713,1.17E-08,4.18E-06,protein_coding,POSTN
ENSDARG00000086374,isg15,141.6221645,1.124704095,1.20E-08,4.21E-06,protein_coding,ISG15
ENSDARG00000070157,tgm2a,3258.775775,-0.671380116,1.45E-08,5.02E-06,protein_coding,TGM2
ENSDARG00000092521,CR382283.2,111.4077257,-0.95675278,1.77E-08,6.00E-06,protein_coding,NA
ENSDARG00000095590,SPP2,2999.026936,-1.043864895,1.84E-08,6.10E-06,protein_coding,SPP2
ENSDARG00000078619,pnp5a,8202.190995,0.800748464,1.86E-08,6.10E-06,protein_coding,PNP
ENSDARG00000095963,si:ch73-361h17.1,1201.037983,0.631449597,2.06E-08,6.65E-06,protein_coding,CLEC10A
ENSDARG00000089075,CU694221.1,2192.688868,-0.657793546,2.47E-08,7.86E-06,protein_coding,NA
ENSDARG00000057652,dbpb,200.0576701,0.823254348,2.62E-08,8.12E-06,protein_coding,DBP
ENSDARG00000068096,ATF5 (1 of 2),1274.072395,0.656970113,2.63E-08,8.12E-06,protein_coding,ATF5
ENSDARG00000007477,fbxo8,963.4986175,0.642204288,2.74E-08,8.33E-06,protein_coding,FBXO8
ENSDARG00000058353,CSMD1 (1 of 2),165.6754935,0.999153302,3.13E-08,9.38E-06,protein_coding,CSMD1
ENSDARG00000071012,CU464131.2,173.5953576,0.975802632,3.20E-08,9.44E-06,protein_coding,NA
ENSDARG00000039513,C18H19orf54,243.518835,-0.648542335,3.24E-08,9.44E-06,protein_coding,C19orf54
ENSDARG00000075168,anpepb,12394.19963,0.923715968,3.60E-08,1.03E-05,protein_coding,ANPEP
ENSDARG00000094543,sod3,494.2302399,-0.694084957,3.73E-08,1.05E-05,protein_coding,SOD3
ENSDARG00000020926,creb3l3l,3439.674764,0.584375012,3.75E-08,1.05E-05,protein_coding,CREB3
ENSDARG00000091560,SLC6A19 (1 of 3),718.4921449,1.243237348,3.84E-08,1.06E-05,protein_coding,SLC6A19
ENSDARG00000068194,klf9,672.3828457,0.981157816,5.44E-08,1.48E-05,protein_coding,KLF9
ENSDARG00000003615,SLC26A3 (2 of 2),898.5747512,0.900536228,5.72E-08,1.53E-05,protein_coding,SLC26A3
ENSDARG00000008915,si:dkey-103i16.2,1707.419456,-0.613498172,6.13E-08,1.62E-05,protein_coding,ENDOU
ENSDARG00000090937,LIMD1 (2 of 2),694.1101041,-0.817298134,7.06E-08,1.84E-05,protein_coding,LIMD1
ENSDARG00000009194,col16a1,23954.69385,-0.266808627,8.17E-08,2.11E-05,protein_coding,COL16A1
ENSDARG00000094265,si:dkey-183n20.15,234.3503966,-0.807886426,8.35E-08,2.13E-05,protein_coding,RNF170
ENSDARG00000090186,RPS27L,2271.431735,0.500452999,1.07E-07,2.69E-05,protein_coding,RPS27L
ENSDARG00000074210,zgc:110286,262.3842626,1.207699269,1.13E-07,2.79E-05,protein_coding,NA
ENSDARG00000070857,si:dkey-32e6.6,3246.81425,-0.682185133,1.13E-07,2.79E-05,protein_coding,ECM2
ENSDARG00000090903,CREB3L3 (2 of 2),317.4277507,0.981086293,1.33E-07,3.22E-05,protein_coding,CREB3L3
ENSDARG00000095939,si:ch73-226l13.2,678.2679402,1.057315743,1.38E-07,3.30E-05,protein_coding,NA
ENSDARG00000025465,spon2a,799.4214381,-0.446691625,1.70E-07,4.03E-05,protein_coding,SPON2
ENSDARG00000094696,si:dkey-201c13.2,1045.553018,0.722829594,2.13E-07,4.99E-05,protein_coding,NA
ENSDARG00000036809,ANPEP (4 of 5),3141.297902,-0.359547427,2.28E-07,5.28E-05,protein_coding,ANPEP
ENSDARG00000038428,sulf1,3181.820383,-0.37230321,2.43E-07,5.57E-05,protein_coding,SULF1
ENSDARG00000044132,ogn,6441.42132,-0.265939034,3.00E-07,6.77E-05,protein_coding,OGN
ENSDARG00000012013,cpa6,342.2824204,-0.614190838,3.02E-07,6.77E-05,protein_coding,CPA6
ENSDARG00000056762,zgc:172079,6227.802231,0.510821752,3.36E-07,7.45E-05,protein_coding,TM4SF4
ENSDARG00000070028,tmem41aa,687.3546418,-0.555422001,3.41E-07,7.46E-05,protein_coding,TMEM41A
ENSDARG00000013522,pck1,8813.539924,1.000603463,3.52E-07,7.64E-05,protein_coding,PCK1
ENSDARG00000052626,AL954655.1,619.9922438,0.892931571,3.66E-07,7.86E-05,protein_coding,GP2
ENSDARG00000088875,stk19,13676.71883,0.347349994,3.76E-07,7.94E-05,protein_coding,STK19
ENSDARG00000013050,abcc12,905.8534122,0.672117664,3.78E-07,7.94E-05,protein_coding,ABCC11
ENSDARG00000061120,slc43a2b,4033.318507,0.860953382,4.21E-07,8.76E-05,protein_coding,SLC43A2
ENSDARG00000009449,PDCL3,1266.879478,-0.589129479,4.26E-07,8.77E-05,protein_coding,PDCL2
ENSDARG00000068681,crfb1,680.1979223,0.579189078,4.36E-07,8.88E-05,protein_coding,NA
ENSDARG00000086628,stk19,13890.00955,0.343390186,4.49E-07,9.05E-05,protein_coding,STK19
ENSDARG00000088788,si:ch211-131e11.21,9569.527569,0.473021501,4.53E-07,9.05E-05,protein_coding,NA
ENSDARG00000087324,crygm2d1,5698.026331,0.551072782,4.76E-07,9.42E-05,protein_coding,NA
ENSDARG00000091397,-,935.6205506,-0.420375054,5.44E-07,0.000106531,protein_coding,FSCB
ENSDARG00000069375,zgc:162608,1107.960447,1.099867562,5.85E-07,0.000113489,protein_coding,NA
ENSDARG00000044086,-,786.0173638,0.716527892,5.98E-07,0.000114995,protein_coding,PNPLA2
ENSDARG00000042513,si:dkey-11e23.3,265.3145302,1.082749431,6.39E-07,0.000121636,protein_coding,ACOT1
ENSDARG00000019917,epb41l3b,2978.889028,0.576180407,7.03E-07,0.000132717,protein_coding,EPB41L3
ENSDARG00000020239,lpin1,772.7258098,0.910205008,7.12E-07,0.000133158,protein_coding,LPIN1
ENSDARG00000042953,cyp2n13,1719.462694,0.743169324,7.66E-07,0.000141809,protein_coding,CYP2J2
ENSDARG00000069630,tat,4086.27094,0.752949289,7.99E-07,0.000146612,protein_coding,TAT
ENSDARG00000060350,APOD (3 of 3),4971.717599,0.82603579,8.20E-07,0.000149252,protein_coding,APOD
ENSDARG00000088390,nme4,338.9364868,0.834662557,8.58E-07,0.000154735,protein_coding,NME4
ENSDARG00000056191,si:ch211-168k14.2,382.9467159,0.547536177,1.01E-06,0.000180997,protein_coding,PLD1
ENSDARG00000002129,slc5a2,178.0936296,0.939906645,1.02E-06,0.000180997,protein_coding,SLC5A2
ENSDARG00000006797,nt5dc1,11046.31529,-0.688143362,1.07E-06,0.000188473,protein_coding,NT5DC1
ENSDARG00000038401,tefb,1882.142732,0.598241522,1.10E-06,0.000191562,protein_coding,TEF
ENSDARG00000074071,C14H5orf45,1451.901185,0.459297053,1.13E-06,0.000195356,protein_coding,C5orf45
ENSDARG00000094458,si:dkey-65b12.12,48.36284451,-0.990287855,1.14E-06,NA,protein_coding,NA
ENSDARG00000091706,U1,23.90665358,-1.062215006,1.14E-06,NA,snRNA,NA
ENSDARG00000013430,bhmt,27890.96637,0.43172447,1.15E-06,0.000196363,protein_coding,BHMT
ENSDARG00000069831,crygm2b,6729.191079,0.473277497,1.19E-06,0.000201299,protein_coding,NA
ENSDARG00000078129,CR936540.1,36.91658684,1.104681718,1.19E-06,NA,protein_coding,ADORA3
ENSDARG00000003803,LHX3,83.23595658,0.983993418,1.56E-06,NA,protein_coding,LHX3
ENSDARG00000056541,nr0b1,437.2124449,0.516668071,1.62E-06,0.000273495,protein_coding,NR0B1
ENSDARG00000095360,si:ch211-213b8.4,574.5133548,0.512842827,1.70E-06,0.00028358,protein_coding,NA
ENSDARG00000075188,adamts10,1858.001736,-0.330405758,1.75E-06,0.000289586,protein_coding,ADAMTS10
ENSDARG00000042931,mibp2,18329.55498,0.22705177,1.81E-06,0.000298023,protein_coding,NA
ENSDARG00000079078,hbaa1,724633.8523,0.575473682,1.83E-06,0.000298384,protein_coding,HBZ
ENSDARG00000093303,IFITM10,823.045585,0.584463926,2.08E-06,0.00033572,protein_coding,RP11-295K3.1
ENSDARG00000077322,SOWAHC (2 of 3),25.91597513,1.051170573,2.20E-06,NA,protein_coding,SOWAHC
ENSDARG00000090346,CT574587.2,988.9105711,0.68775292,2.31E-06,0.000371261,protein_coding,NA
ENSDARG00000090647,U1,24.19466048,-1.034952844,2.34E-06,NA,snRNA,NA
ENSDARG00000042780,APOB (1 of 3),36575.1955,-0.714728076,2.45E-06,0.000390244,protein_coding,APOB
ENSDARG00000093237,si:ch211-89o9.4,177.8117421,1.072769431,2.48E-06,0.000391433,protein_coding,ZNF638
ENSDARG00000035809,col1a1b,366412.3782,-0.317690769,2.63E-06,0.00041219,protein_coding,COL1A1
ENSDARG00000045580,lum,21321.66144,-0.286781716,2.88E-06,0.000445486,protein_coding,LUM
ENSDARG00000005704,eps8l3,1509.937117,0.727769384,2.89E-06,0.000445486,protein_coding,EPS8L3
ENSDARG00000075263,ankrd1a,1215.819505,-0.837622994,2.91E-06,0.000445668,protein_coding,ANKRD1
ENSDARG00000093210,-,45.63268221,-1.04172586,2.97E-06,NA,protein_coding,NA
ENSDARG00000078419,FILIP1 (2 of 2),373.9604032,-0.518885763,3.14E-06,0.000477117,protein_coding,FILIP1
ENSDARG00000075342,BX649628.1,8.151341912,-0.970901775,3.15E-06,NA,protein_coding,NA
ENSDARG00000076981,zgc:198329,683.9920308,0.582036425,3.28E-06,0.000494482,protein_coding,CEACAM16
ENSDARG00000070964,si:rp71-15k1.1,866.1181206,-0.782040331,3.85E-06,0.000576285,protein_coding,NA
ENSDARG00000041220,ftr53,64.72488202,-0.954077774,3.89E-06,NA,protein_coding,NA
ENSDARG00000087697,lpl,3753.226701,0.448984144,3.93E-06,0.000585128,protein_coding,LPL
ENSDARG00000044990,CD9,545.3737896,0.50104323,3.99E-06,0.000589642,protein_coding,NA
ENSDARG00000005004,slc5a12,300.5305189,0.82406089,4.04E-06,0.000592709,protein_coding,SLC5A12
ENSDARG00000067701,myoz3a,1464.116225,-0.52814173,4.09E-06,0.000594664,protein_coding,MYOZ3
ENSDARG00000069548,zgc:162780,796.4807515,0.407180016,4.12E-06,0.00059524,protein_coding,NA
ENSDARG00000025703,dmgdh,2029.348438,0.548496825,4.50E-06,0.000645691,protein_coding,DMGDH
ENSDARG00000070426,chac1,16043.476,0.38926515,4.72E-06,0.000670066,protein_coding,CHAC1
ENSDARG00000009341,NRAP,8707.356064,-0.400184749,4.74E-06,0.000670066,protein_coding,NEB
ENSDARG00000090540,sv2b,1259.283226,0.518898543,5.07E-06,0.000711934,protein_coding,SV2B
ENSDARG00000092725,si:dkey-188i13.8,126.9432464,0.877426219,5.11E-06,0.000712769,protein_coding,NA
ENSDARG00000041078,chka,2996.501654,0.47958101,5.38E-06,0.000745281,protein_coding,CHKA
ENSDARG00000040253,onecutl,914.2739726,0.930207916,5.57E-06,0.000762908,protein_coding,NA
ENSDARG00000022261,pdzk1,5327.706018,0.646284692,5.58E-06,0.000762908,protein_coding,PDZK1
ENSDARG00000030530,slc22a2,1261.679065,0.720710636,5.89E-06,0.000800383,protein_coding,SLC22A1
ENSDARG00000027807,fynrk,12414.58329,-0.593901148,6.01E-06,0.000811158,protein_coding,FRK
ENSDARG00000036036,mdka,9192.852286,-0.304202285,6.46E-06,0.000866043,protein_coding,MDK
ENSDARG00000013856,amy2a,10990.47227,0.801139201,6.72E-06,0.000894616,protein_coding,AMY2B
ENSDARG00000007221,pbk,1183.128121,-0.352825814,6.82E-06,0.000901828,protein_coding,PBK
ENSDARG00000089626,PTGES3 (3 of 3),4433.364318,-0.680589927,6.97E-06,0.000916304,protein_coding,PTGES3
ENSDARG00000070012,sesn2,482.3999764,0.426317498,7.28E-06,0.000950513,protein_coding,SESN2
ENSDARG00000075270,CU896655.3,1232.620473,-0.411874627,7.49E-06,0.00096887,protein_coding,CASP1
ENSDARG00000060340,si:dkey-157l19.2,1324.751815,0.371810191,7.51E-06,0.00096887,protein_coding,KIAA1522
ENSDARG00000075727,CR847510.1,364.0625368,0.971508732,8.11E-06,0.001039294,protein_coding,MAP1LC3C
ENSDARG00000077396,tlcd2,1640.793654,0.424296578,8.29E-06,0.001050657,protein_coding,TLCD2
ENSDARG00000052625,fkbp1b,4243.570172,-0.312283818,8.30E-06,0.001050657,protein_coding,FKBP1B
ENSDARG00000076848,LGALS3BP (2 of 3),1124.10757,-0.536820783,8.52E-06,0.001070951,protein_coding,LGALS3BP
ENSDARG00000092627,BX649628.2,8.295345358,-0.930292224,8.76E-06,NA,protein_coding,NA
ENSDARG00000079980,si:ch211-202h22.9,691.2338825,0.646607139,8.84E-06,0.001104983,protein_coding,LITAF
ENSDARG00000089087,ba1,711624.1319,0.538862064,9.16E-06,0.001137454,protein_coding,HBE1
ENSDARG00000042055,fam129aa,615.0243032,0.7136631,9.44E-06,0.001165269,protein_coding,FAM129A
ENSDARG00000004964,cyp4t8,1708.247704,0.44516492,9.52E-06,0.001168404,protein_coding,CYP4A11
ENSDARG00000012903,slc34a2a,1902.910502,0.930773206,9.67E-06,0.001179276,protein_coding,SLC34A2
ENSDARG00000025122,abhd4,613.2058651,0.676593464,9.86E-06,0.001196074,protein_coding,ABHD4
ENSDARG00000094719,si:dkeyp-1h4.9,4251.785682,0.523829751,9.93E-06,0.001197304,processed_transcript,NA
ENSDARG00000074644,SPOCK1,445.0441057,0.549354975,1.01E-05,0.001216183,protein_coding,SPOCK1
ENSDARG00000056410,fdx1,2466.922524,-0.541921286,1.05E-05,0.001251196,protein_coding,FDX1
ENSDARG00000091231,ANPEP (1 of 5),714.6905188,0.827225644,1.06E-05,0.001251196,protein_coding,ANPEP
ENSDARG00000031438,kcnj11l,350.4618161,0.507046583,1.08E-05,0.001276558,protein_coding,KCNJ11
ENSDARG00000062601,piwil2,148.3809282,0.862919874,1.11E-05,0.00129473,protein_coding,PIWIL2
ENSDARG00000043210,nfic,2229.100762,-0.450711101,1.15E-05,0.001339644,protein_coding,NFIC
ENSDARG00000040732,elavl2,71.72130465,0.99805707,1.17E-05,NA,protein_coding,ELAVL2
ENSDARG00000014976,lims2,1766.040915,-0.38108911,1.19E-05,0.001381323,protein_coding,LIMS1
ENSDARG00000030616,nfe2l1a,1276.78823,0.822471097,1.34E-05,0.001528977,protein_coding,NFE2L1
ENSDARG00000025428,socs3a,4726.238046,0.525660256,1.34E-05,0.001528977,protein_coding,SOCS3
ENSDARG00000079122,tmx2a,565.266491,-0.705976408,1.34E-05,0.001528977,protein_coding,TMX2
ENSDARG00000002299,arsh,719.4358808,-0.590181019,1.36E-05,0.001542024,protein_coding,ARSF
ENSDARG00000008921,acp5b,376.569545,-0.438962906,1.37E-05,0.001547493,protein_coding,ACP5
ENSDARG00000053535,lmo7b,3441.037144,-0.403865516,1.43E-05,0.00159428,protein_coding,LMO7
ENSDARG00000091431,CR352285.1,179.4572426,0.552918404,1.43E-05,0.00159428,protein_coding,NA
ENSDARG00000078069,RRM2 (1 of 2),8801.359842,-0.495592372,1.46E-05,0.001619477,protein_coding,RRM2B
ENSDARG00000054894,EMP3 (2 of 2),10855.83221,-0.193248296,1.48E-05,0.001628123,protein_coding,EMP3
ENSDARG00000077777,TMSB15A,51747.42394,-0.228810713,1.50E-05,0.001637127,protein_coding,TMSB15A
ENSDARG00000010936,abcb4,3734.304358,0.550785889,1.50E-05,0.001637127,protein_coding,ABCB4
ENSDARG00000094634,si:ch211-120e1.7,10245.57662,-0.31395997,1.53E-05,0.001658663,protein_coding,NA
ENSDARG00000008866,CABP4,150.3526147,0.741569338,1.54E-05,0.001660615,protein_coding,CABP4
ENSDARG00000089885,slc16a12b,715.1683463,0.707192615,1.58E-05,0.001698779,protein_coding,SLC16A12
ENSDARG00000039974,rai14,2574.574297,-0.453150649,1.61E-05,0.00171648,protein_coding,RAI14
ENSDARG00000037873,cyp3c1l2,1744.3248,0.659225473,1.62E-05,0.001720858,protein_coding,CYP3A4
ENSDARG00000076532,PTMS,18621.80097,-0.204160038,1.65E-05,0.001739537,protein_coding,PTMS
ENSDARG00000036135,bbox1,2632.730806,0.88141448,1.68E-05,0.001769555,protein_coding,BBOX1
ENSDARG00000091609,SPINK4,787.7709648,0.393352766,1.78E-05,0.001858845,protein_coding,SPINK4
ENSDARG00000062108,iffo1b,1275.174336,-0.447692853,1.79E-05,0.001860195,protein_coding,IFFO1
ENSDARG00000040039,pttg1ipb,626.9190617,0.657506232,1.87E-05,0.001930829,protein_coding,PTTG1IP
ENSDARG00000079705,-,1076.530592,0.434994208,1.88E-05,0.001938302,protein_coding,NA
ENSDARG00000002764,miox,2314.033662,0.830773393,1.92E-05,0.001966764,protein_coding,MIOX
ENSDARG00000053481,ENTPD5 (1 of 2),3775.947381,-0.600261036,2.05E-05,0.002080199,protein_coding,ENTPD5
ENSDARG00000003684,obsl1a,2695.647989,-0.704369833,2.05E-05,0.002080199,protein_coding,OBSL1
ENSDARG00000089241,THRSP,133.2706641,-0.882674699,2.32E-05,0.002337617,protein_coding,NA
ENSDARG00000055523,oat,613.8543375,0.7677875,2.35E-05,0.002360927,protein_coding,SLC22A6
ENSDARG00000057128,hadhaa,2817.709847,-0.390320489,2.54E-05,0.002531918,protein_coding,HADHA
ENSDARG00000015033,slc23a1,254.2348363,0.61704817,2.57E-05,0.00255111,protein_coding,SLC23A1
ENSDARG00000029596,trim55a,1159.396561,-0.384260446,2.62E-05,0.00258108,protein_coding,TRIM55
ENSDARG00000093786,si:ch211-245l1.1,467.5463567,-0.628756671,2.62E-05,0.00258108,processed_transcript,NA
ENSDARG00000026654,gosr1,773.62538,0.309790991,2.65E-05,0.00259116,protein_coding,GOSR1
ENSDARG00000095752,si:dkeyp-13a3.7,992.002386,0.360396464,2.70E-05,0.002629296,pseudogene,NA
ENSDARG00000021318,capg,2625.735763,-0.276074547,2.75E-05,0.002664971,protein_coding,CAPG
ENSDARG00000086815,MYADM (2 of 2),412.7387271,-0.429025604,2.76E-05,0.002664971,protein_coding,MYADM
ENSDARG00000071601,pvalb9,2336.817928,0.505578207,2.78E-05,0.002666038,protein_coding,OCM
ENSDARG00000044161,GRID1 (1 of 2),393.8588207,-0.52938866,2.79E-05,0.002666038,protein_coding,GRID1
ENSDARG00000025522,sgk1,10311.24659,0.344110702,2.81E-05,0.002677378,protein_coding,SGK1
ENSDARG00000019417,gadd45g,1151.470749,0.639274747,3.09E-05,0.002932949,protein_coding,GADD45G
ENSDARG00000018478,agxtb,4170.691292,0.66631266,3.18E-05,0.002997582,protein_coding,AGXT
ENSDARG00000034916,hat1,2399.9677,-0.338321303,3.25E-05,0.003054839,protein_coding,HAT1
ENSDARG00000069843,kctd12.1,316.3813161,0.465915967,3.33E-05,0.003111077,protein_coding,KCTD12
ENSDARG00000024471,nsl1,293.5603063,-0.521439767,3.38E-05,0.003142551,protein_coding,NSL1
ENSDARG00000030176,ITGB1BP2,1690.240297,-0.347366259,3.54E-05,0.003281478,protein_coding,ITGB1BP2
ENSDARG00000040492,mthfd1b,6370.314452,-0.537923978,3.56E-05,0.003281478,protein_coding,MTHFD1
ENSDARG00000094156,si:dkey-281a10.1,48.3103123,-0.854520037,3.75E-05,NA,processed_transcript,NA
ENSDARG00000036893,f13a1b,2182.894792,-0.294214698,3.76E-05,0.00343999,protein_coding,F13A1
ENSDARG00000005216,zgc:158328,491.2216056,-0.365668519,3.76E-05,0.00343999,protein_coding,MEGF6
ENSDARG00000076011,PPM1K (2 of 2),721.2550458,0.662265607,3.79E-05,0.003444542,protein_coding,PPM1K
ENSDARG00000079307,si:dkey-205h13.1,867.7023899,0.401820225,3.88E-05,0.003511351,protein_coding,C1orf50
ENSDARG00000039100,zgc:172244,147.2198535,0.639447825,3.96E-05,0.003571402,protein_coding,NA
ENSDARG00000002204,hspb11,1185.655906,-0.516915845,4.05E-05,0.003635418,protein_coding,NA
ENSDARG00000083350,CU459159.2,21.09583583,-0.862722658,4.13E-05,NA,miRNA,NA
ENSDARG00000004355,nr0b2b,64.00923909,-0.9207814,4.20E-05,NA,protein_coding,NA
ENSDARG00000045568,bcat1,458.0205942,0.547154961,4.28E-05,0.003821323,protein_coding,BCAT1
ENSDARG00000011166,cahz,12414.21314,0.378629763,4.30E-05,0.003826232,protein_coding,CA13
ENSDARG00000018298,cyp1c2,485.0072819,0.606530154,4.43E-05,0.003926628,protein_coding,CYP1B1
ENSDARG00000013056,itpk1,2022.249289,0.403403363,4.48E-05,0.003948145,protein_coding,ITPK1
ENSDARG00000021399,yipf2,1111.664638,0.321131761,4.63E-05,0.004064025,protein_coding,YIPF2
ENSDARG00000079011,col17a1b,6612.703146,-0.403154671,4.85E-05,0.004238203,protein_coding,COL17A1
ENSDARG00000074752,hlfa,2995.308413,0.36513535,4.92E-05,0.004285449,protein_coding,HLF
ENSDARG00000020114,slc20a1a,948.9790719,0.571842903,4.98E-05,0.00431757,protein_coding,SLC20A1
ENSDARG00000093119,GSTK1 (3 of 4),1851.505433,0.409185185,5.00E-05,0.00431757,protein_coding,GSTK1
ENSDARG00000021669,sec61al1,18005.70075,0.436588668,5.05E-05,0.004342604,protein_coding,SEC61A1
